GROSS_MARGIN|I_CATEGORY|I_CLASS|LOCHIERARCHY|RANK_WITHIN_PARENT|
 -4.1251547672854467533099074909735283343E-01|Jewelry                                           |mens watch                                        |0|15|
 -4.0542576815272145614122251027578366345E-01|Jewelry                                           |custom                                            |0|16|
 -4.0366859037486696970653147940738896662E-01|Jewelry                                           |diamonds                                          |0|17|
 -4.4073645117906210945288928642592267263E-01|Men                                               |sports-apparel                                    |0|1|
 -4.3790091133376661790802461485057474917E-01|Men                                               |accessories                                       |0|2|
 -4.3591436770437870969792189009879165776E-01|Men                                               |pants                                             |0|3|
 -4.2360559890474258838751162949675610003E-01|Men                                               |shirts                                            |0|4|
 -3.7624818124177018513072137434999009072E-01|Men                                               ||0|5|
 -4.7431133112562645930666344961698226215E-01|Music                                             ||0|1|
 -4.3329665520990703386896458448684145008E-01|Music                                             |pop                                               |0|2|
 -4.3020245544474708479059884792563876108E-01|Music                                             |country                                           |0|3|
 -4.2712086695089558051513826002077811412E-01|Music                                             |classical                                         |0|4|
 -4.2136829819706150249288776354775820207E-01|Music                                             |rock                                              |0|5|
 -6.4408685366116262046649627752474725249E-01|Shoes                                             ||0|1|
 -4.4354372771258021407921753109942884007E-01|Shoes                                             |mens                                              |0|2|
 -4.4297620113001415434503259790287290778E-01|Shoes                                             |womens                                            |0|3|
 -4.3084851976116918608765466879969012529E-01|Shoes                                             |kids                                              |0|4|
 -4.2004091624928350236361829527004664778E-01|Shoes                                             |athletic                                          |0|5|
 -4.6748951063204589131679319598867696718E-01|Sports                                            |basketball                                        |0|1|
