ITEM_SK|D_DATE|WEB_SALES|STORE_SALES|WEB_CUMULATIVE|STORE_CUMULATIVE|
 41|2000-03-05 00:00:00.0||70.06|123.34|70.06|
 41|2000-03-17 00:00:00.0|178.84|150.76|178.84|150.76|
 41|2000-04-26 00:00:00.0|263.14||263.14|254.88|
 41|2000-07-12 00:00:00.0|474.83||474.83|393.87|
 41|2000-07-18 00:00:00.0||421.23|474.83|421.23|
 41|2000-08-15 00:00:00.0||430.77|474.83|430.77|
 49|2000-01-18 00:00:00.0||2.51|4.58|2.51|
 49|2000-01-31 00:00:00.0|72.47||72.47|13.05|
 49|2000-02-13 00:00:00.0||70.68|72.47|70.68|
 49|2000-02-29 00:00:00.0||71.86|72.47|71.86|
 49|2000-04-17 00:00:00.0|225.29||225.29|219.03|
 53|2000-01-02 00:00:00.0|12.85|1.13|12.85|1.13|
 53|2000-01-08 00:00:00.0|119.24||119.24|1.13|
 53|2000-01-09 00:00:00.0|126.98||126.98|1.13|
 53|2000-01-15 00:00:00.0||3.2|126.98|3.2|
 53|2000-02-04 00:00:00.0||22.89|126.98|22.89|
 53|2000-02-05 00:00:00.0||64.45|126.98|64.45|
 53|2000-02-12 00:00:00.0||66.06|126.98|66.06|
 56|2000-01-02 00:00:00.0|41.57|17.31|41.57|17.31|
 61|2000-02-17 00:00:00.0|421.6||421.6|344.03|
 61|2000-03-01 00:00:00.0||411.33|421.6|411.33|
 61|2000-04-22 00:00:00.0|600.2||600.2|573.28|
 71|2000-01-02 00:00:00.0|13.92|2.88|13.92|2.88|
 85|2000-02-03 00:00:00.0||42.3|65.5|42.3|
 85|2000-02-16 00:00:00.0||42.95|65.5|42.95|
 85|2000-04-19 00:00:00.0|335.16||335.16|247.67|
 85|2000-04-23 00:00:00.0||252.83|335.16|252.83|
 85|2000-05-02 00:00:00.0||289.65|335.16|289.65|
 85|2000-05-11 00:00:00.0||312.62|335.16|312.62|
 86|2000-01-19 00:00:00.0|31.7||31.7|25.97|
 86|2000-02-03 00:00:00.0|151.26||151.26|91.16|
 86|2000-02-04 00:00:00.0||112.15|151.26|112.15|
 89|2000-01-12 00:00:00.0||28.84|181.56|28.84|
 89|2000-01-23 00:00:00.0||67.19|181.56|67.19|
 89|2000-01-30 00:00:00.0||104.65|181.56|104.65|
 89|2000-02-22 00:00:00.0||146.96|181.56|146.96|
 89|2000-02-25 00:00:00.0||147.02|181.56|147.02|
 89|2000-03-19 00:00:00.0||172.85|181.56|172.85|
 89|2000-03-20 00:00:00.0|191.66||191.66|172.85|
 89|2000-04-11 00:00:00.0|295.81||295.81|172.85|
 89|2000-04-13 00:00:00.0||203.86|295.81|203.86|
 89|2000-04-20 00:00:00.0|373.3||373.3|203.86|
 89|2000-04-23 00:00:00.0||219.74|373.3|219.74|
 89|2000-04-26 00:00:00.0||235.97|373.3|235.97|
 89|2000-05-04 00:00:00.0||248.05|373.3|248.05|
