W_WAREHOUSE_SK|I_ITEM_SK|D_MOY|MEAN|COV|W_WAREHOUSE_SK|I_ITEM_SK|D_MOY|MEAN|COV|
 1|13935|1|311.75|1.03992896954123260485165259259749420824E00|1|13935|2|275|1.03675271803217735186853570594958553678E00|
 1|14687|1|358|1.43693569193817135091052352435033561871E00|1|14687|2|187|1.54936315314749577516172351023610144181E00|
 1|14719|1|209|1.04115096397076283423613699868688452986E00|1|14719|2|489|1.37661688280080417838364791968060590061E00|
 1|15345|1|148.5|1.52957840357940215316414953881397052761E00|1|15345|2|246.5|1.50879877472315250083417309113707614726E00|
 1|15427|1|482.75|1.01242389283350433893708127170446643231E00|1|15427|2|333.25|1.27247701263086782696944463167303399413E00|
 1|15647|1|2.01666666666666666666666666666666666667E02|1.28579318760957419875680760483806117777E00|1|15647|2|249.25|1.36481729901421612656298613452466216551E00|
 1|16079|1|280.5|1.24447574161285779824204588492748192739E00|1|16079|2|361.25|1.07378057040787246365756483076128243211E00|
 1|16223|1|2.45666666666666666666666666666666666667E02|1.06011489563988654211873104057099407492E00|1|16223|2|4.12666666666666666666666666666666666667E02|1.06712310713237242440037383027895433563E00|
 1|16289|1|171|1.08726331384266106540625649875539816871E00|1|16289|2|316.5|1.36953066940712048169894974398190351053E00|
 1|16451|1|300|1.25165076184598299058356199460374973047E00|1|16451|2|467.5|1.2962363881858208094364141568424719287E00|
 1|17051|1|349.75|1.13464238198454893435717075836022489143E00|1|17051|2|319.75|1.03793548974380762244154018850122713963E00|
 2|71|1|221.5|1.56397410833474480632545892446071160252E00|2|71|2|309|1.49170578958856827133342640689079805503E00|
 2|833|1|3.63333333333333333333333333333333333333E02|1.04228138021802739849333895260355859865E00|2|833|2|158.75|1.21308917362685515864369822194731378801E00|
 2|969|1|282|1.13743403440371954980891006759176321896E00|2|969|2|386|1.13710011872321865106025845102247242481E00|
 2|1401|1|249|1.32062376891552250583853595352128215008E00|2|1401|2|2.96666666666666666666666666666666666667E02|1.28681219317445924268882085571506306029E00|
 2|1681|1|337.75|1.05215659882718903481856853032603355048E00|2|1681|2|252.75|1.03179106854816988450952041091533309097E00|
 2|1991|1|356|1.13367900469198845525955084285045608976E00|2|1991|2|273.25|1.33241964180890874325028208740195225225E00|
 2|2031|1|407.5|1.0209876826110387357415018803227642383E00|2|2031|2|418.75|1.00533886329128388906100115161652974402E00|
 2|2481|1|319.75|1.11602666075580097514028558285420830929E00|2|2481|2|3.78333333333333333333333333333333333333E02|1.05971852740846428715496381568424672972E00|
 2|2725|1|349.75|1.11487049180647462159187001755016455519E00|2|2725|2|2.65666666666666666666666666666666666667E02|1.54629721484715388518394933458097845856E00|
 2|3073|1|385|1.10208458441891284680603634496751114711E00|2|3073|2|231.75|1.08849890638272686278134849789669326898E00|
 2|3769|1|334|1.19542966145638994877530900918314272254E00|2|3769|2|335|1.049464958250902911893025872581224461|
 2|4085|1|327.75|1.10054138731451240491107698565367154747E00|2|4085|2|281.75|1.01876080648011088810576001070278591382E00|
 2|4995|1|282.25|1.26041833295740589605364557192207484449E00|2|4995|2|248|1.25482290188235309070089492106593258247E00|
 2|5099|1|4.18666666666666666666666666666666666667E02|1.06809008879706527301538035179559575628E00|2|5099|2|4.28666666666666666666666666666666666667E02|1.03523727780047398880058726131833807307E00|
 2|5211|1|157|1.06955174286546720631924764195112609878E00|2|5211|2|270.25|1.19402008096189716686852667573906189054E00|
 2|5769|1|341.25|1.27231326965637417513250893811543046925E00|2|5769|2|267|1.18157918487190387772913853871559320411E00|
 2|6103|1|1.94333333333333333333333333333333333333E02|1.51606701793073892014926581463593420137E00|2|6103|2|158.5|1.27436986361650618402265811118222859686E00|
 2|6243|1|168.5|1.07321081000235118103335022962277513309E00|2|6243|2|386.75|1.08329026054802593106698190056325972745E00|
 2|6489|1|268|1.69563723684322657135704983037064224312E00|2|6489|2|389|1.41057805192997655253227564265645978017E00|
 2|6585|1|183.75|1.11519375813177353588139137441205323767E00|2|6585|2|353.75|1.09397071467532999276077546708836490077E00|
 2|6767|1|341|1.09316398413453791651684300458223288552E00|2|6767|2|235|1.13995438558180157443245578898128671745E00|
 2|7411|1|460|1.06282932551434754046279262909588751072E00|2|7411|2|297.5|1.00057653507239793878588206582253208414E00|
 2|8489|1|126.75|1.34164629585209087438663726005019223127E00|2|8489|2|398.25|1.00411248402521536770694762724566150487E00|
 2|8633|1|218.5|1.4645189740171023606658197192297436785E00|2|8633|2|230.25|1.31169630145766187765427757546454386801E00|
 2|8807|1|417.25|1.02581129300137704031272832326109266276E00|2|8807|2|356.25|1.10797306330892333371486731701651370331E00|
 2|8883|1|249.25|1.11122717822105494754557730438759457294E00|2|8883|2|189.25|1.0100754851397980922519170397440178963E00|
 2|9253|1|4.13333333333333333333333333333333333333E02|1.16066599481024038191873132401118425425E00|2|9253|2|465|1.02424458240287861622945986921100176699E00|
 2|9467|1|108.25|1.09112238896874494574912154793063246715E00|2|9467|2|107|1.030922036122443119687212341012677104|
 2|9561|1|190.5|1.03030325133731675473723337371580156563E00|2|9561|2|271|1.20583495355429984835614206700552030148E00|
 2|9575|1|452.5|1.04944922260589568735957695738916705293E00|2|9575|2|155.75|1.153405668564372452508848058080675422|
 2|9903|1|322.75|1.07610800625560179144343746034603947048E00|2|9903|2|3.87333333333333333333333333333333333333E02|1.26124067734519650361920157036120808488E00|
 2|10535|1|3.24333333333333333333333333333333333333E02|1.05711040350940927839323144615396375593E00|2|10535|2|310.25|1.00406349951903404385077826256310997899E00|
 2|10955|1|356|1.15828133109551516872888722612229701181E00|2|10955|2|339|1.07025321362544897525158813981490699468E00|
 2|12089|1|212|1.08275011457342158296042802782594433363E00|2|12089|2|1.73333333333333333333333333333333333333E02|1.0739812153327328864808544376506911387E00|
 2|12633|1|402.75|1.00713620757406938154219530379044323061E00|2|12633|2|367|1.12705356386071564193857985691841707675E00|
 2|12765|1|308|1.11884768827013369965601151246218431753E00|2|12765|2|347|1.15717445902363038939811798612040163105E00|
 2|13077|1|277|1.2323360849352150940514648184943004369E00|2|13077|2|223.5|1.13940034491295097033618815036539838289E00|
 2|13687|1|361.25|1.01073416576108656709081048256150249991E00|2|13687|2|468.25|1.00984291842181001429036579782921822802E00|
 2|14025|1|371.75|1.01501360830500163862114708894289007896E00|2|14025|2|141|1.25431702597462034435651789927737550068E00|
 2|14117|1|298.5|1.02512380347472662390047642852385999699E00|2|14117|2|220.25|1.41526844659411743305432988975928109975E00|
 2|14347|1|366|1.03278929462619277798650449249882208414E00|2|14347|2|369.75|1.01857399001928621969586082096874574487E00|
 2|14697|1|397.75|1.00812054171448302636402661670215809986E00|2|14697|2|328.75|1.16084955802916502659320804254604473517E00|
 2|14987|1|146.75|1.02900406436114269566783088829288547963E00|2|14987|2|436.5|1.04476815417956466256165986700683159544E00|
 2|15321|1|527|1.21026625546540012715286833893467520576E00|2|15321|2|298.75|1.13090984067921133261331708100131799582E00|
 2|15347|1|243|1.22262397963834985348163891510908809968E00|2|15347|2|310.75|1.20365848526559258897724584830661159665E00|
 2|15533|1|223|1.09651113296801394710020716501048668182E00|2|15533|2|330|1.49674884887904723732803032705511713242E00|
 2|15839|1|353|1.50636844375429065451555848207934154938E00|2|15839|2|255.5|1.23623931828941022793012219812467773423E00|
 2|16107|1|376|1.01332463061037842132151056610665761963E00|2|16107|2|364.75|1.06886779837766554674587113867402077958E00|
 2|16749|1|200|1.09447095286566041723385030903094395947E00|2|16749|2|438.25|1.03606466180745317180412762442734978699E00|
 2|17329|1|3.21333333333333333333333333333333333333E02|1.3093279467658027462138151234742862079E00|2|17329|2|490.25|1.07565806497223360969285498916107077624E00|
 2|17417|1|321.75|1.13067648038390192621926684498227969914E00|2|17417|2|534|1.00107252167983132667984707444057279719E00|
 3|1049|1|252.5|1.1090641101125921673643024323240418306E00|3|1049|2|457.25|1.0239841249245368110667083922237198785E00|
 3|1415|1|247.5|1.13216177885824480991282751771040398837E00|3|1415|2|369.75|1.09546795628831607051886857758601263258E00|
 3|2199|1|185.75|1.20281255706941143121256866190848406979E00|3|2199|2|300.75|1.07678450649230469731136922300423510514E00|
 3|2403|1|270.75|1.32587056781792961188538531116125964923E00|3|2403|2|384|1.09039871830110162927324855587100037911E00|
 3|2541|1|364.75|1.07921352610289389233257828303848250701E00|3|2541|2|550.5|1.05455888711018259315729922123175487966E00|
 3|2727|1|303.75|1.03016470029108497325562756930667886492E00|3|2727|2|219.25|1.38220918319593766759754317955366406981E00|
 3|3207|1|383.75|1.08545880264779115846916041397442369912E00|3|3207|2|258.25|1.21133924809296552506100773141685963983E00|
 3|3373|1|404.5|1.01433741438068780624753455986382563473E00|3|3373|2|171.25|1.28566539746329979206132997726790703786E00|
 3|3969|1|234.25|1.0422831793090308558931856465707779362E00|3|3969|2|217.25|1.42154906533211858327311194726225524276E00|
 3|4407|1|438.5|1.06566635451139829985821226001654735382E00|3|4407|2|330.75|1.02444039684288712276251772003151901732E00|
 3|6051|1|289.75|1.26388808848433607158385413821584936796E00|3|6051|2|439|1.10457692451927392243447403028979327785E00|
 3|6521|1|381|1.00156829188783910267388513677669885603E00|3|6521|2|437.75|1.03651493326582578964242243746087782962E00|
 3|6691|1|377|1.10907372929175230352716057511072625702E00|3|6691|2|380.5|1.05813012502815568610584643680994316581E00|
 3|6757|1|282.5|1.08950093868841112100167284353086260521E00|3|6757|2|345.25|1.22638287478384758857924457062502830624E00|
 3|6915|1|4.20666666666666666666666666666666666667E02|1.04683456349069693384664754950333348253E00|3|6915|2|292.5|1.25061710727161171265072980543482451022E00|
 3|7207|1|3.29666666666666666666666666666666666667E02|1.59544821607203965055965987574504522374E00|3|7207|2|414.5|1.01791970790893690022094488973869778446E00|
 3|7889|1|318.5|1.28790300499851031857933514977607463652E00|3|7889|2|2.91333333333333333333333333333333333333E02|1.00429253239227874916416864124541872213E00|
 3|8559|1|356.25|1.00651934616956279639885001102677893259E00|3|8559|2|393.5|1.01288316521412055587093877299211333485E00|
 3|8829|1|364.25|1.07928522604468757178199537445639425544E00|3|8829|2|350.25|1.11339122407411043238355651266870889334E00|
 3|9555|1|377|1.13084693289101587864045190906605142679E00|3|9555|2|444.75|1.01715881750423169525641389548210263076E00|
 3|9623|1|3.31333333333333333333333333333333333333E02|1.15512892719344762131519233775696416296E00|3|9623|2|2.84666666666666666666666666666666666667E02|1.03037244262573180898854564543241159468E00|
 3|9813|1|343.75|1.05169537535088327577026280423691277867E00|3|9813|2|3.84666666666666666666666666666666666667E02|1.08150059066048482661658693582748501441E00|
 3|9881|1|351.5|1.17888205541572228271975350929157838337E00|3|9881|2|287.75|1.09093860895107858346745184238742416955E00|
 3|10035|1|378.25|1.02163995117913760951271995348942734936E00|3|10035|2|364.25|1.1567922653398061440610131338195320018E00|
 3|10509|1|420.25|1.05486269012757360201758075622671005962E00|3|10509|2|368.25|1.18206333594730976973481873958704577295E00|
 3|10547|1|1.82333333333333333333333333333333333333E02|1.53256415148690422315774045573828560439E00|3|10547|2|320.25|1.3024418443731521654425659473328327018E00|
 3|10743|1|233.25|1.27930223542411563716824740895960093974E00|3|10743|2|110.25|1.10720463412750704777452816716686001409E00|
 3|11477|1|264.25|1.09535300008360258811852062704241141481E00|3|11477|2|278.5|1.03279098170704005769564045714979218736E00|
 3|11959|1|358|1.06848352517929836790769136228238456511E00|3|11959|2|268.5|1.00898567989119897772995065910101966744E00|
 3|12043|1|169.25|1.03309380888022090818896349909958646576E00|3|12043|2|377.25|1.01619624997187651927610623151982852952E00|
 3|12157|1|3.26333333333333333333333333333333333333E02|1.00223186705514927058663546825837272052E00|3|12157|2|3.96333333333333333333333333333333333333E02|1.02878180504048836092748641025693303117E00|
 3|12433|1|199.75|1.30725892406196213314507145435243722438E00|3|12433|2|478.5|1.01647420719473921979613879295214028204E00|
 3|12867|1|278.25|1.64038001239473503011512704081257145618E00|3|12867|2|350.75|1.20069333217427955951522554101809982643E00|
 3|13499|1|281|1.14319654575211901883195060095528564179E00|3|13499|2|446.75|1.03315202626753816014111951010943127201E00|
 3|14589|1|266.5|1.11432439218449557514236381563141203145E00|3|14589|2|3.34333333333333333333333333333333333333E02|1.1453146816350116243833848902895781066E00|
 3|15207|1|300.25|1.48446112637533110342010198796535494391E00|3|15207|2|564|1.0004808712533066036735351080845204492E00|
 3|15395|1|258.25|1.0513876898285773197373712500416438212E00|3|15395|2|307.5|1.1382253193107218488458590097059068643E00|
 3|15973|1|477.5|1.20393259288934688447724914427485291924E00|3|15973|2|286|1.28722942419990698892604559006873924503E00|
 3|16233|1|2.60666666666666666666666666666666666667E02|1.12042355005680894350674843412225401705E00|3|16233|2|210.5|1.17881433366855179026438295479224887128E00|
 3|16267|1|456|1.00422634651883994635449859860995201774E00|3|16267|2|3.64333333333333333333333333333333333333E02|1.48188554283097307886520942366121542683E00|
 3|16605|1|394.25|1.11374135729060369949050834052857678177E00|3|16605|2|296.25|1.28858926556715965170171885952251663442E00|
 3|16949|1|155.75|1.11861772854499380764133088822627582299E00|3|16949|2|229.5|1.02894691967245449333556861282762850313E00|
 3|17319|1|364.75|1.27093644456740238758704463086437048597E00|3|17319|2|359.25|1.15787514348624209300805380615054111437E00|
 4|947|1|247.5|1.69331818134869716093056451424347256712E00|4|947|2|2.03333333333333333333333333333333333333E02|1.20543314516193108494661541963500682849E00|
 4|1895|1|354.75|1.23973415419922843176637389728000097995E00|4|1895|2|383.75|1.0893076992144061829071903683007217047E00|
 4|3429|1|358.5|1.06655933549234467787195608610673246681E00|4|3429|2|346|1.25194893006554585546345623556538649216E00|
 4|4559|1|215|1.24323299004329807033499613432045000468E00|4|4559|2|360.75|1.03335458572473168996421280380240633239E00|
 4|4773|1|328.25|1.05098365929601404723999474645402457877E00|4|4773|2|330.5|1.00625805968772063216800493485067829161E00|
 4|4885|1|151|1.32055703506361855550356364313620813959E00|4|4885|2|377.25|1.04890352378868334182558111179680739744E00|
 4|4915|1|289.25|1.08639294905146164784160114827132809259E00|4|4915|2|368|1.06965855460537204371943103281003055271E00|
 4|5043|1|476|1.01559642764894857043078990778885478565E00|4|5043|2|244.25|1.35628936908492873347902957476928312866E00|
 4|5095|1|334|1.22588612913531577413778074674507291003E00|4|5095|2|390.25|1.06217880633324369399996489077890533813E00|
 4|5193|1|2.63333333333333333333333333333333333333E02|1.25017095450113891045031522338926164538E00|4|5193|2|323|1.09796161958028277716379986780350729057E00|
 4|5975|1|434|1.0233614450980864052343477093493658975E00|4|5975|2|359.75|1.19793569000840838842996838478063776837E00|
 4|6251|1|285|1.12153802558526405862940705361649291292E00|4|6251|2|335.5|1.16021925239571142058043568738663661729E00|
 4|6389|1|280.75|1.20492360894878443492346997843138970089E00|4|6389|2|2.59333333333333333333333333333333333333E02|1.48165505756592858355094804361538738513E00|
 4|6487|1|452.75|1.07106266022115234183485710895369039732E00|4|6487|2|350.5|1.17164756896521997579534565451735973084E00|
 4|6619|1|430|1.0007262551157654908278036392744268515E00|4|6619|2|226.25|1.54855745071307892235965324758331493613E00|
 4|7191|1|260.75|1.00126668371547768038624598215127289404E00|4|7191|2|195.25|1.5372675520067364447145261880132113546E00|
 4|7427|1|239.5|1.41835671444067958771766536563388466489E00|4|7427|2|373.25|1.04297919767638418128288077689285920653E00|
 4|8453|1|314.75|1.02597149098032974907168028560011488685E00|4|8453|2|376.75|1.00990239316608472549378093261311824974E00|
 4|8781|1|518.5|1.10054999501937097818993519810725781042E00|4|8781|2|521|1.12377046990875499079443211482306142904E00|
 4|9571|1|314|1.21685782429817794029737903393503073481E00|4|9571|2|309|1.08921673894007903858520890075007195435E00|
 4|9587|1|248|1.49818872606123368535143511724292881516E00|4|9587|2|248|1.00649878404759237837120402962527881144E00|
 4|10333|1|321|1.14861070617895431805480374552874358205E00|4|10333|2|317|1.04692263174126677812896356213698956176E00|
 4|10969|1|1.86666666666666666666666666666666666667E02|1.10442061641350378835123192417897621443E00|4|10969|2|307|1.10947641057338577822787134616545940551E00|
 4|10993|1|446|1.00923763229655884523586347798919075172E00|4|10993|2|2.06666666666666666666666666666666666667E02|1.23553335199491049451734785198377062309E00|
 4|11571|1|342.5|1.14262839935483879503949862968349413635E00|4|11571|2|3.04666666666666666666666666666666666667E02|1.03199432246528480542644269445165802664E00|
 4|11979|1|2.25333333333333333333333333333333333333E02|1.46706561552470891381460306098328965414E00|4|11979|2|438.25|1.13899269903476631562041249585121246829E00|
 4|13409|1|3.12333333333333333333333333333333333333E02|1.34275025126514662996204759868668972521E00|4|13409|2|336.25|1.10819783020336952219936675027825108994E00|
 4|13443|1|417.75|1.02177960822313466525957852763705443351E00|4|13443|2|334|1.30764308529665284433865993546366615505E00|
 4|13567|1|271.5|1.0087621621432743236165839661085996828E00|4|13567|2|370|1.45576860634105623445858974581532721019E00|
 4|13683|1|318.75|1.01498277299461719712927728312555337315E00|4|13683|2|363.5|1.07811545783320957983943609167096953991E00|
 4|14143|1|367|1.04417994389315487849313380775948290166E00|4|14143|2|290|1.19330607541214548995186111508961686244E00|
 4|14401|1|342.75|1.18365590360307554031644080466535312469E00|4|14401|2|344.25|1.20670831162726177132386644758967707978E00|
 4|14693|1|447.25|1.05166749116521026500923020164437130863E00|4|14693|2|498|1.35173826443693422335261813799963109518E00|
 4|14877|1|4.14333333333333333333333333333333333333E02|1.1707723877930457195836134779598325274E00|4|14877|2|282.5|1.58305829443468639602742866236168391138E00|
 4|15063|1|378.25|1.11281925881668380564174106013046991653E00|4|15063|2|444|1.06327776882041588927344228390737545741E00|
 4|15275|1|335.5|1.15363829391755563597761341901644835583E00|4|15275|2|2.92666666666666666666666666666666666667E02|1.29783136810370516901536949118759625109E00|
 4|15509|1|2.96333333333333333333333333333333333333E02|1.02467405365821725434958093323944802395E00|4|15509|2|3.17666666666666666666666666666666666667E02|1.44703645650782395350850431387498203901E00|
 4|15969|1|423|1.04728754976652242448855312275725924229E00|4|15969|2|342.5|1.25117693718085668609487245055738425098E00|
 4|16627|1|485.5|1.01514608957162435531902887824321272993E00|4|16627|2|161.25|1.35332527262000412739463608752499025162E00|
 4|16641|1|521.5|1.1050662064564453161777337586106461496E00|4|16641|2|221.5|1.03085905100251164178716085872527896912E00|
 4|16751|1|549.5|1.08221438212536208921039146229331763792E00|4|16751|2|2.23333333333333333333333333333333333333E02|1.33778976058595452574241556880448828897E00|
 5|75|1|333|1.26563187628492144932906902674836185831E00|5|75|2|226|1.0358078507992577977505492877649608151E00|
 5|125|1|4.41666666666666666666666666666666666667E02|1.09597145737754432405060363659481310498E00|5|125|2|331.5|1.00811482860088344890691579802074784216E00|
 5|431|1|159|1.10617947521810417594168143296575569741E00|5|431|2|304|1.12242253731036358485305084006712159866E00|
 5|671|1|4.03333333333333333333333333333333333333E02|1.00560141473341448493744519347334847388E00|5|671|2|2.81333333333333333333333333333333333333E02|1.3366835222521475551289648795958562183E00|
 5|745|1|466.75|1.01090655255785627968775109845084147636E00|5|745|2|351|1.11472128816841835182451262747459782486E00|
 5|1701|1|374|1.08644581702487811995274900913896627903E00|5|1701|2|385|1.33063087007505361530895492176590457308E00|
 5|2521|1|360.75|1.09924823414920808942681641921571973539E00|5|2521|2|265.5|1.17240776940067235925724964348262113758E00|
 5|2855|1|406|1.40376370846393424794847427550864119622E00|5|2855|2|183.25|1.06622499102396265408658881923145455125E00|
 5|3137|1|271.25|1.57545322059286384509737476631896594536E00|5|3137|2|380|1.08342033886003189351104811438452653161E00|
 5|3279|1|299.5|1.05366971636375497484318212779211792002E00|5|3279|2|276.75|1.44588780938418284452276061320182646069E00|
 5|3467|1|294|1.14772946387168716823511843089395520134E00|5|3467|2|3.49666666666666666666666666666666666667E02|1.16742236928188069965283768040614520206E00|
 5|4463|1|338|1.06993200814814327945159513893392850175E00|5|4463|2|273.5|1.23697973218356759170088216794521046978E00|
 5|4719|1|340.5|1.05718578018055416367352374282106366861E00|5|4719|2|4.23666666666666666666666666666666666667E02|1.02550002067134879784354098356117245832E00|
 5|4739|1|2.81333333333333333333333333333333333333E02|1.0242971514325028161879350103893797024E00|5|4739|2|383.5|1.03343373901898244853491641168509080161E00|
 5|4839|1|310.25|1.03590344091196904663063549628744752813E00|5|4839|2|232|1.29541938203301920255761138848574680517E00|
 5|4979|1|359.5|1.10464080740631558315396146626081303643E00|5|4979|2|323.75|1.17042509507304928539848347361566406492E00|
 5|5401|1|219.25|1.27738702419160335378552206403346709549E00|5|5401|2|203|1.09156752052082703579395856623359969842E00|
 5|5635|1|370|1.02270546444592154072539681364598615406E00|5|5635|2|3.51666666666666666666666666666666666667E02|1.37776644644287380856687997191920396668E00|
 5|5797|1|403|1.02348822867090468992583247774144296143E00|5|5797|2|457.5|1.0037040103895150720564711597688929845E00|
 5|5901|1|360.25|1.12596312692338690167964401646083787626E00|5|5901|2|376|1.00950384256251520059586857681625734019E00|
 5|6129|1|419.25|1.01691801656314672150577401966103452606E00|5|6129|2|359.5|1.04788893868110930681362888822801817734E00|
 5|6213|1|3.51666666666666666666666666666666666667E02|1.20562125367335425132035101088468966324E00|5|6213|2|361.5|1.11684080585507602704753765452833570683E00|
 5|6479|1|3.01333333333333333333333333333333333333E02|1.27800104493049964720050283611351831886E00|5|6479|2|395.75|1.17797435479737793260758965533107695482E00|
 5|7333|1|227|1.46113460026501285555775422830021660163E00|5|7333|2|243.75|1.17891624978086130001528238016394995599E00|
 5|7923|1|358|1.10467709124498259841050292176115394023E00|5|7923|2|3.42333333333333333333333333333333333333E02|1.16077811252640650531571322246726654188E00|
 5|8737|1|217.25|1.07421364009077672441487116549158478262E00|5|8737|2|403.5|1.04420805027747708181284889471883358542E00|
 5|8945|1|344.25|1.1414837656266812806238029478510891367E00|5|8945|2|298|1.00083669934925943718161853995745336365E00|
 5|8993|1|399|1.18737228921049333671319729977505979028E00|5|8993|2|371.75|1.13163538013507810479660543047182117717E00|
 5|10667|1|288|1.34536401775793668569749987532618358475E00|5|10667|2|289.5|1.09522380117282279482259242319573743561E00|
 5|10771|1|394.75|1.04806801311744090004088932000232149561E00|5|10771|2|323.25|1.23773488180608518597041782355852113982E00|
 5|10949|1|383|1.11256773739950298371846399700559435906E00|5|10949|2|378.25|1.12554060995955398611987925919724489242E00|
