CA_COUNTY|D_YEAR|WEB_Q1_Q2_INCREASE|STORE_Q1_Q2_INCREASE|WEB_Q2_Q3_INCREASE|STORE_Q2_Q3_INCREASE|
 Edmonson County|2000|7.32442176605943445000682581132580282781E-01|2.99753341574572522145508399451443286109E-01|1.60289705148679454872563942588932399512E00|1.49124566966590956426148008385227506603E00|
 Ferry County|2000|7.01372576535022157684618560391130418159E-01|3.41010413979238428612637401767853513419E-01|4.00291948296976322273030859239455596892E00|2.60346424433491811554987342323854907074E00|
 Fillmore County|2000|5.07768922691410975673329103024790446933E-01|3.49921225261491359522657241681017957755E-01|2.44316167851217836017288355052931979872E00|1.30113584148891856725083416714261788918E00|
 Forest County|2000|6.44745096763110676899070169052604654225E-01|3.42367153800743559489748996854880002579E-01|5.7710273664162307218901203978335980106E00|1.88107396292615725709529635037543813074E00|
 Gaston County|2000|7.63773585502871645592457914447276143792E-01|4.55495568636867261534949678105695897907E-01|3.95561127950703527358361223128839631402E00|2.14157208867586400247926675354816687205E00|
 Grant County|2000|6.93335906529080746312582635815087130822E-01|6.2287006574997139298181944759162465469E-01|1.78864440391255808703577305618710552438E00|1.72219698265008746343673388280771022006E00|
 Green County|2000|7.63666740143236088861855798106819215027E-01|3.21498503816793893129770992366412213741E-01|4.69415179614253064231814500651898532276E00|4.20703393156246569024670350940576362066E00|
 Harlan County|2000|1.67035452402648727699810860688102455348E00|1.59011462583916549826111461298347349779E00|2.47195880035173527034519258817549280062E00|2.10729423552902100894957048760459014062E00|
 Harris County|2000|2.33756878339064961706151502877621392193E00|3.33126434099827109274597562912972973013E-01|2.41705787693964913783306128970093867406E00|1.0257942234388916367070806364906761102E00|
 Heard County|2000|4.10255425797345111941175614610279491947E00|1.26694736944349772210510798681629228361E00|3.50022796085130486100936317478662946171E00|1.12780400281997028726333338482007694374E00|
 Houston County|2000|2.04532581379072173991452797469821946571E00|1.03898262024544230725937879226374557982E00|1.96505101107434259024332603361230623799E00|1.42119328479424659036388908787509684015E00|
 Ingham County|2000|5.74390404563175711113850752256733426573E-01|3.84113646141370436673217438314296593673E-01|1.3065165902188885179161175433806062193E00|9.92061013187197302747632774496291459003E-01|
 Lake County|2000|1.25507734972894098442621121155724798887E00|7.4592816715512231749826877425624655888E-01|1.51514725864381842572158033666536847116E00|1.26566157863214393532240756195439014797E00|
 Lamar County|2000|7.49357567851850257259122582305857932322E-01|7.45616869266174475274180449164747383087E-01|4.26903583162332184191349330860750182258E00|2.02958382186798565683617484308160183839E00|
 Lincoln County|2000|1.01913659071384428172635937311656580229E00|9.44844969873432866529294096585802290577E-01|2.33595981997358419040529974314124648137E00|1.77692773583797247241593339990524675311E00|
 Marion County|2000|1.15899867146899535785995306160242271244E00|9.16511420012995496847912937235511267233E-01|2.44503995542958764570784323307718972178E00|1.85107281966013413617964566496808461728E00|
 Mercer County|2000|7.38341741251334506433059469404461998743E-01|6.01678212680000524443184017968569326706E-01|3.01245002846535210486794312701948081684E00|2.72447026833096876670793957397332021732E00|
 Meriwether County|2000|3.65747588469440883210820676180292350843E-01|3.0041718463447056981424158419858521096E-01|2.77227009866799734272970234286746405185E00|7.87768689631480614760273119874201786108E-01|
 Miller County|2000|2.57574486635571802637839809213919178047E00|1.3182733129432445453029275028925214419E00|2.19196784625244992680363174339656369765E00|9.82218113162963532888960215849755223192E-01|
 Mitchell County|2000|4.43923300874974085759251139933776670195E00|1.16133474512593180929281678607308809303E00|1.39403628066461255296009253537752650445E00|1.25607445425888971887635698254960044765E00|
 Mora County|2000|1.18326068380690729343558348566298551697E00|6.3565423603324903384871031511867442965E-01|2.51312040659621924019159749899447877436E00|9.18567175296676206712319960273210354681E-01|
 Nantucket County|2000|1.43789670528374954374063659641331209445E00|7.22692086188968593552326009502249424863E-01|1.17548815032780566738196297493852001962E00|9.62303762426299152454310760155051243653E-01|
 New Kent County|2000|6.02616194265843611795045334142385381052E-01|3.99062211135156647901321151180828082773E-01|2.86938639567487181076015057394698929562E00|2.62589483534122492727589668219971862949E00|
 Nicholas County|2000|2.16511619646191995296063098053353104379E00|2.05627395349407767109388280115029344399E00|6.02129981251529356488677787757259141843E00|1.26257658392038084654154728282082792875E00|
 Otero County|2000|2.7546552678761135120255635461989087556E00|1.24629885719290895615726392074638612022E00|2.97611082044226499803751033964179719218E00|2.24583464561823034065776714045628430672E00|
 Oxford County|2000|9.73142971738723731477273390038632522653E-01|7.57240455990014596665615505322212423972E-01|4.01268689882568157677327983004838900035E00|1.64075103593614289372867437828245939482E00|
 Perry County|2000|1.58078031254531177495489011480586008395E00|7.64453185248929817798238074053541823762E-01|2.1533699492491146606321543502858066507E00|1.80241038564110521224250013898810528658E00|
 Prince William County|2000|3.37637294390632576616371945894755340718E00|6.30787296360594627614561547720076990176E-01|1.70696672591256025795739179270877109109E00|9.34323753946378319121898967951509901057E-01|
 Refugio County|2000|1.81297643260970719702412101767257685864E00|5.86731800538634952509298563609398900858E-01|1.30198390085676088582550142823775546279E00|1.26960356663764360132820516336329336377E00|
 Rice County|2000|1.13469845554799428548251168366450194014E00|7.33017644813779224100552709821830312856E-01|2.3781493552970068868164174819058683156E00|1.98640182855261776227845482179628198701E00|
 Richmond County|2000|1.57166529010943629981416477390047491224E00|1.2940149915147266797312893148762879723E00|2.3095920111803404682999247856061327649E00|1.77801574004216753434895966734324342983E00|
 Sheridan County|2000|1.38602993112914940936588561363065271664E00|1.25065703628942682512968837293280845635E00|1.57593627431305158026661206767088531099E00|5.37886077623078430123669000191078642971E-01|
 Smith County|2000|6.36935741252481220565912894562721363796E-01|4.27881834375405509947579399235783843097E-01|5.74484457179102206627766075824987671702E00|4.47795842098561613795970516184429472062E00|
 Stark County|2000|7.33821959455125692531139848886747729809E00|1.41758911718790894451132959118635091403E00|1.86383952742221993889998015905195424598E00|1.22736577699011640743523998771191905693E00|
 Steele County|2000|1.37741333938882476057030946536180498782E00|7.66512503419809770523633334879430467423E-01|1.24797335804696750207112872884963022911E00|9.31195374711740597359719420233953458797E-01|
 Stone County|2000|1.90004219386908689285711580285388119206E00|8.11920324778164893560269267411112404893E-01|3.69936110579529869549963320894332280802E00|1.52166194955095355111976596381701734566E00|
 Tooele County|2000|6.59030285094209332149551149255203709184E00|7.68910489074274634979348989445510865427E-01|1.78863718124696571211025772673770829622E00|3.40067289397563979669870798778911018477E-01|
 Vernon County|2000|9.7445432611778328310796938227070360486E-01|9.15946204252551406960585672795608979693E-01|1.36880362121572107270555061898089222875E00|1.04171186172364664012617482718387401279E00|
 Williamson County|2000|2.98510216435126620827172362870384425816E00|3.91417741512091653789621919501358285439E-01|5.80596457866338618083835079622827836961E00|4.39669909544374083772258095170425443527E00|
 Wright County|2000|5.02933513881997226846720676686499195415E00|1.97080989390700524628456726182427430157E00|4.07652891489033681972720117493366655577E00|1.96647245178231099546801902090002960686E00|
