I_CATEGORY|I_CLASS|I_BRAND|S_STORE_NAME|S_COMPANY_NAME|D_MOY|SUM_SALES|AVG_MONTHLY_SALES|
 Men                                               |shirts                                            |importoimporto #1                                 |able|Unknown|7|2880.34|5.19481833333333333333333333333333333333E03|
 Men                                               |shirts                                            |importoimporto #1                                 |ese|Unknown|5|3210.74|5492.8175|
 Women                                             |dresses                                           |amalgamalg #1                                     |ation|Unknown|4|2418.39|4690.89|
 Men                                               |shirts                                            |importoimporto #1                                 |eing|Unknown|4|2833.4|5.07407666666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |bar|Unknown|2|2692.79|4.91411833333333333333333333333333333333E03|
 Men                                               |shirts                                            |importoimporto #1                                 |eing|Unknown|6|2854.62|5.07407666666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |eing|Unknown|6|2314.71|4528.8225|
 Men                                               |shirts                                            |importoimporto #1                                 |ought|Unknown|5|2834.94|5.04575833333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |ation|Unknown|5|2480.25|4690.89|
 Women                                             |dresses                                           |amalgamalg #1                                     |able|Unknown|7|2302.21|4507.24|
 Women                                             |dresses                                           |amalgamalg #1                                     |ation|Unknown|6|2501.15|4690.89|
 Men                                               |shirts                                            |importoimporto #1                                 |ese|Unknown|2|3307.78|5492.8175|
 Men                                               |shirts                                            |importoimporto #1                                 |able|Unknown|5|3016.43|5.19481833333333333333333333333333333333E03|
 Men                                               |shirts                                            |importoimporto #1                                 |able|Unknown|4|3040.23|5.19481833333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |eing|Unknown|5|2420.31|4528.8225|
 Women                                             |dresses                                           |amalgamalg #1                                     |ese|Unknown|5|2535.8|4.64299083333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |ought|Unknown|2|2521.7|4619.7075|
 Men                                               |shirts                                            |importoimporto #1                                 |bar|Unknown|3|2877.96|4.97350916666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |ese|Unknown|3|2577.15|4.64299083333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |ation|Unknown|7|2637.27|4690.89|
 Men                                               |shirts                                            |importoimporto #1                                 |ation|Unknown|1|3380.16|5.41091666666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |eing|Unknown|7|2524.32|4528.8225|
 Men                                               |shirts                                            |importoimporto #1                                 |bar|Unknown|4|2986.7|4.97350916666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |ought|Unknown|4|2648.8|4619.7075|
 Men                                               |shirts                                            |importoimporto #1                                 |bar|Unknown|7|3026.41|4.97350916666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |ation|Unknown|3|2751.11|4690.89|
 Men                                               |shirts                                            |importoimporto #1                                 |bar|Unknown|2|3073.45|4.97350916666666666666666666666666666667E03|
 Men                                               |shirts                                            |importoimporto #1                                 |eing|Unknown|3|3179.96|5.07407666666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |ation|Unknown|1|2797.07|4690.89|
 Women                                             |dresses                                           |amalgamalg #1                                     |able|Unknown|1|2621.05|4507.24|
 Women                                             |dresses                                           |amalgamalg #1                                     |ese|Unknown|4|2808.36|4.64299083333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #2                                     |bar|Unknown|6|680.47|2.50696333333333333333333333333333333333E03|
 Men                                               |shirts                                            |importoimporto #1                                 |ation|Unknown|2|3591.65|5.41091666666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |able|Unknown|3|2706.15|4507.24|
 Women                                             |dresses                                           |amalgamalg #2                                     |eing|Unknown|2|773.08|2.56934666666666666666666666666666666667E03|
 Men                                               |shirts                                            |importoimporto #1                                 |bar|Unknown|6|3199.08|4.97350916666666666666666666666666666667E03|
 Men                                               |shirts                                            |importoimporto #1                                 |ese|Unknown|7|3754.33|5492.8175|
 Women                                             |dresses                                           |amalgamalg #1                                     |bar|Unknown|5|3190.77|4.91411833333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |eing|Unknown|2|2841.88|4528.8225|
 Men                                               |shirts                                            |importoimporto #1                                 |able|Unknown|6|3538.25|5.19481833333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |ese|Unknown|6|3006.94|4.64299083333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |bar|Unknown|1|3284.93|4.91411833333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #2                                     |bar|Unknown|5|878.42|2.50696333333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |able|Unknown|5|2891.95|4507.24|
 Men                                               |shirts                                            |importoimporto #1                                 |eing|Unknown|7|3465.77|5.07407666666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #2                                     |eing|Unknown|3|964.29|2.56934666666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |bar|Unknown|6|3324.49|4.91411833333333333333333333333333333333E03|
 Men                                               |shirts                                            |importoimporto #1                                 |ought|Unknown|3|3467.09|5.04575833333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |ought|Unknown|5|3049.25|4619.7075|
 Women                                             |dresses                                           |amalgamalg #1                                     |eing|Unknown|3|2978.07|4528.8225|
 Men                                               |shirts                                            |importoimporto #1                                 |ought|Unknown|4|3544.97|5.04575833333333333333333333333333333333E03|
 Men                                               |shirts                                            |importoimporto #1                                 |bar|Unknown|1|3490.62|4.97350916666666666666666666666666666667E03|
 Men                                               |shirts                                            |importoimporto #2                                 |able|Unknown|2|628.63|2.09547083333333333333333333333333333333E03|
 Men                                               |shirts                                            |importoimporto #1                                 |eing|Unknown|1|3628.21|5.07407666666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |able|Unknown|4|3082.17|4507.24|
 Men                                               |shirts                                            |importoimporto #2                                 |eing|Unknown|5|765.86|2.13765666666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #2                                     |ation|Unknown|4|1064.7|2.43122666666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #2                                     |ought|Unknown|3|991.89|2.35544166666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #2                                     |eing|Unknown|5|1211.13|2.56934666666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #2                                     |ation|Unknown|7|1078.41|2.43122666666666666666666666666666666667E03|
 Men                                               |shirts                                            |importoimporto #2                                 |ation|Unknown|4|807.67|2141.06|
 Women                                             |dresses                                           |amalgamalg #2                                     |ation|Unknown|2|1102.89|2.43122666666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #2                                     |eing|Unknown|6|1247.86|2.56934666666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #2                                     |able|Unknown|4|1020.39|2.33727833333333333333333333333333333333E03|
 Men                                               |shirts                                            |importoimporto #2                                 |able|Unknown|7|780.91|2.09547083333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #2                                     |ese|Unknown|2|904.34|2.20082083333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #2                                     |ought|Unknown|7|1061.87|2.35544166666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #2                                     |able|Unknown|3|1054.94|2.33727833333333333333333333333333333333E03|
 Men                                               |shirts                                            |importoimporto #2                                 |ought|Unknown|6|633.96|1.90805666666666666666666666666666666667E03|
 Men                                               |shirts                                            |importoimporto #2                                 |ese|Unknown|6|853.37|2.11357333333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #2                                     |able|Unknown|5|1084.94|2.33727833333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #2                                     |eing|Unknown|4|1317.08|2.56934666666666666666666666666666666667E03|
