I_CATEGORY|I_CLASS|I_BRAND|S_STORE_NAME|S_COMPANY_NAME|D_MOY|SUM_SALES|AVG_MONTHLY_SALES|
 Women                                             |dresses                                           |amalgamalg #1                                     |eing|Unknown|6|66.81|1.77066666666666666666666666666666666667E02|
 Men                                               |shirts                                            |importoimporto #2                                 |ation|Unknown|4|6.33|115.32|
 Men                                               |shirts                                            |importoimporto #2                                 |eing|Unknown|2|1.91|110.68875|
 Women                                             |dresses                                           |amalgamalg #1                                     |ation|Unknown|7|139.95|2.48068181818181818181818181818181818182E02|
 Women                                             |dresses                                           |amalgamalg #2                                     |ought|Unknown|2|43.99|150.116|
 Women                                             |dresses                                           |amalgamalg #1                                     |bar|Unknown|2|65.54|168.77|
 Men                                               |shirts                                            |importoimporto #2                                 |ese|Unknown|1|24.51|1.26279090909090909090909090909090909091E02|
 Women                                             |dresses                                           |amalgamalg #1                                     |ought|Unknown|6|110.87|212.5175|
 Men                                               |shirts                                            |importoimporto #2                                 |eing|Unknown|8|10.55|110.68875|
 Women                                             |dresses                                           |amalgamalg #2                                     |bar|Unknown|7|50.56|1.50652727272727272727272727272727272727E02|
 Men                                               |shirts                                            |importoimporto #2                                 |ese|Unknown|2|26.28|1.26279090909090909090909090909090909091E02|
 Women                                             |dresses                                           |amalgamalg #1                                     |eing|Unknown|2|78.65|1.77066666666666666666666666666666666667E02|
 Women                                             |dresses                                           |amalgamalg #2                                     |bar|Unknown|9|52.98|1.50652727272727272727272727272727272727E02|
 Women                                             |dresses                                           |amalgamalg #2                                     |ese|Unknown|3|35.76|1.32685833333333333333333333333333333333E02|
 Men                                               |shirts                                            |importoimporto #1                                 |bar|Unknown|7|108.13|204.6975|
 Women                                             |dresses                                           |amalgamalg #1                                     |ought|Unknown|4|116.07|212.5175|
 Men                                               |shirts                                            |importoimporto #2                                 |bar|Unknown|5|19.68|1.15707272727272727272727272727272727273E02|
 Men                                               |shirts                                            |importoimporto #2                                 |ese|Unknown|7|30.58|1.26279090909090909090909090909090909091E02|
 Women                                             |dresses                                           |amalgamalg #2                                     |eing|Unknown|10|57.45|1.50325454545454545454545454545454545455E02|
 Men                                               |shirts                                            |importoimporto #1                                 |ought|Unknown|2|114.17|2.06893333333333333333333333333333333333E02|
 Men                                               |shirts                                            |importoimporto #1                                 |eing|Unknown|4|151.42|2.42813636363636363636363636363636363636E02|
 Men                                               |shirts                                            |importoimporto #2                                 |bar|Unknown|4|26.74|1.15707272727272727272727272727272727273E02|
 Jewelry                                           |birdal                                            |amalgcorp #8                                      |able|Unknown|4|9.78|95.11|
 Women                                             |dresses                                           |amalgamalg #1                                     |bar|Unknown|1|84.58|168.77|
 Women                                             |dresses                                           |amalgamalg #2                                     |bar|Unknown|10|67.11|1.50652727272727272727272727272727272727E02|
 Women                                             |dresses                                           |amalgamalg #1                                     |bar|Unknown|7|85.75|168.77|
 Women                                             |dresses                                           |amalgamalg #1                                     |bar|Unknown|4|87.63|168.77|
 Men                                               |shirts                                            |importoimporto #1                                 |bar|Unknown|11|124.65|204.6975|
 Women                                             |dresses                                           |amalgamalg #2                                     |ese|Unknown|9|54.32|1.32685833333333333333333333333333333333E02|
 Men                                               |shirts                                            |importoimporto #1                                 |ese|Unknown|5|160.36|2.38488181818181818181818181818181818182E02|
 Books                                             |computers                                         |exportimaxi #8                                    |bar|Unknown|10|7.13|8.42833333333333333333333333333333333333E01|
 Books                                             |computers                                         |exportimaxi #9                                    |able|Unknown|5|13.42|89.805|
 Women                                             |dresses                                           |amalgamalg #2                                     |ese|Unknown|6|56.89|1.32685833333333333333333333333333333333E02|
 Women                                             |dresses                                           |amalgamalg #2                                     |able|Unknown|7|11.43|8.46208333333333333333333333333333333333E01|
 Women                                             |dresses                                           |amalgamalg #2                                     |ought|Unknown|7|77.7|150.116|
 Men                                               |shirts                                            |importoimporto #2                                 |ation|Unknown|7|43.35|115.32|
 Women                                             |dresses                                           |amalgamalg #2                                     |eing|Unknown|4|79.03|1.50325454545454545454545454545454545455E02|
 Books                                             |computers                                         |exportimaxi #11                                   |ation|Unknown|3|5.26|76.522|
 Men                                               |shirts                                            |importoimporto #2                                 |ation|Unknown|10|44.16|115.32|
 Men                                               |shirts                                            |importoimporto #1                                 |ought|Unknown|10|135.94|2.06893333333333333333333333333333333333E02|
 Women                                             |dresses                                           |amalgamalg #2                                     |eing|Unknown|5|81.37|1.50325454545454545454545454545454545455E02|
 Jewelry                                           |birdal                                            |amalgcorp #7                                      |able|Unknown|10|2.31|71.1575|
 Men                                               |shirts                                            |importoimporto #1                                 |ought|Unknown|4|139.49|2.06893333333333333333333333333333333333E02|
 Men                                               |shirts                                            |importoimporto #2                                 |able|Unknown|2|5.66|72.59|
 Men                                               |shirts                                            |importoimporto #1                                 |ought|Unknown|1|140.53|2.06893333333333333333333333333333333333E02|
 Men                                               |shirts                                            |importoimporto #2                                 |ought|Unknown|3|48.15|114.106|
