PREV_YEAR|YEAR|I_BRAND_ID|I_CLASS_ID|I_CATEGORY_ID|I_MANUFACT_ID|PREV_YR_CNT|CURR_YR_CNT|SALES_CNT_DIFF|SALES_AMT_DIFF|
 2001|2002|9003002|3|9|921|334|117|-217|-3092.07|
 2001|2002|9008008|8|9|413|444|228|-216|-4546.98|
 2001|2002|7009001|9|9|192|472|257|-215|-12086.51|
 2001|2002|9012004|1|9|466|328|115|-213|-2742.48|
 2001|2002|9016002|16|9|761|451|242|-209|3464.11|
 2001|2002|2004001|4|9|178|292|84|-208|-21621.5|
 2001|2002|9003004|3|9|155|441|233|-208|-7138.55|
 2001|2002|9011002|11|9|42|292|84|-208|-28249.62|
 2001|2002|9003002|3|9|130|359|152|-207|-12520.56|
 2001|2002|9009004|12|9|755|359|156|-203|-8445.26|
 2001|2002|6010005|10|9|168|246|44|-202|-6636.92|
 2001|2002|3002001|2|9|220|430|229|-201|-26716.91|
 2001|2002|9008004|8|9|204|292|91|-201|-5722.19|
 2001|2002|9015008|15|9|143|281|81|-200|-4700.32|
 2001|2002|9010008|10|9|192|319|120|-199|-771.86|
 2001|2002|6012005|12|9|302|417|219|-198|1896.5|
 2001|2002|9006010|3|9|99|341|144|-197|-5407.65|
 2001|2002|9010008|10|9|106|293|101|-192|-5312.39|
 2001|2002|9005002|5|9|320|572|381|-191|-9672.56|
 2001|2002|8011003|11|9|721|589|401|-188|-4498.1|
 2001|2002|9007002|7|9|510|204|17|-187|-15158.18|
 2001|2002|9013010|6|9|56|300|114|-186|-4042.01|
 2001|2002|9014008|14|9|239|389|209|-180|2475.46|
 2001|2002|9013008|13|9|133|358|180|-178|-2778.38|
 2001|2002|7012005|14|9|437|230|53|-177|-5692.63|
 2001|2002|9003002|3|9|1000|343|166|-177|-1898.71|
 2001|2002|9012008|12|9|249|431|254|-177|-9374.06|
 2001|2002|9011008|11|9|77|502|326|-176|-19946.39|
 2001|2002|9012002|12|9|431|308|134|-174|1306.53|
 2001|2002|9005008|5|9|936|270|97|-173|-9458.77|
 2001|2002|8002001|13|9|268|267|95|-172|-5186.76|
 2001|2002|2004001|16|9|443|313|143|-170|-5099.48|
 2001|2002|4003001|8|9|120|207|38|-169||
 2001|2002|10010007|4|9|109|249|81|-168|-10803.21|
 2001|2002|9010008|10|9|284|198|32|-166|-9379.98|
 2001|2002|9003008|3|9|78|294|129|-165|-8773.11|
 2001|2002|3002001|2|9|241|505|341|-164|-2250.43|
 2001|2002|5004001|3|9|43|297|134|-163|-57.11|
 2001|2002|7007001|12|9|221|379|218|-161|-9656.02|
 2001|2002|9016002|16|9|750|295|135|-160|-10793.41|
 2001|2002|4003001|3|9|250|305|151|-154|-1250.42|
 2001|2002|6008001|13|9|323|265|111|-154|-10127.43|
