I_CATEGORY|I_BRAND|S_STORE_NAME|S_COMPANY_NAME|D_YEAR|D_MOY|AVG_MONTHLY_SALES|SUM_SALES|PSUM|NSUM|
 Women                                             |importoamalg #1                                   |able|Unknown|1999|3|2.27221666666666666666666666666666666667E02|.98|12.48|484.09|
 Children                                          |importoexporti #1                                 |eing|Unknown|1999|5|259.5|35.1|110.66|176.3|
 Music                                             |exportischolar #1                                 |able|Unknown|1999|1|2.43834545454545454545454545454545454545E02|22.22|493.72|150.54|
 Music                                             |edu packscholar #1                                |ese|Unknown|1999|3|2.51370909090909090909090909090909090909E02|31.54|338.77|15.19|
 Men                                               |edu packimporto #1                                |bar|Unknown|1999|2|2.41984166666666666666666666666666666667E02|22.43|430.67|258.95|
 Men                                               |edu packimporto #1                                |eing|Unknown|1999|2|2.66174166666666666666666666666666666667E02|48.78|19.82|150.35|
 Women                                             |importoamalg #1                                   |able|Unknown|1999|2|2.27221666666666666666666666666666666667E02|12.48|89.32|.98|
 Children                                          |edu packexporti #1                                |ation|Unknown|1999|7|236.051|22.33|45.59|82.18|
 Shoes                                             |exportiedu pack #1                                |ation|Unknown|1999|7|2.52078888888888888888888888888888888889E02|40.99||159.5|
 Men                                               |edu packimporto #1                                |bar|Unknown|1999|4|2.41984166666666666666666666666666666667E02|32.86|258.95|181.37|
 Women                                             |exportiamalg #1                                   |ese|Unknown|1999|2|232.605|24.06|68.84|148.41|
 Men                                               |edu packimporto #1                                |eing|Unknown|1999|6|2.66174166666666666666666666666666666667E02|58.8|4.1|262.92|
 Music                                             |exportischolar #1                                 |ought|Unknown|1999|4|2.10460833333333333333333333333333333333E02|4.1|50.29|210.44|
 Women                                             |amalgamalg #1                                     |ought|Unknown|1999|5|212.5175|7.43|116.07|110.87|
 Men                                               |importoimporto #1                                 |ation|Unknown|1999|2|2.56254166666666666666666666666666666667E02|53.49|20.41|15.17|
 Women                                             |importoamalg #1                                   |ese|Unknown|1999|3|2.06734545454545454545454545454545454545E02|6.38|445.21|9.04|
 Men                                               |edu packimporto #1                                |ought|Unknown|1999|5|200.3975|.14|101.73|180.43|
 Shoes                                             |exportiedu pack #1                                |ation|Unknown|1999|5|2.52078888888888888888888888888888888889E02|52.73|212.23||
 Music                                             |edu packscholar #1                                |ought|Unknown|1999|5|259.615|61.18|119.47|226.3|
 Shoes                                             |importoedu pack #1                                |eing|Unknown|1999|2|2.65774545454545454545454545454545454545E02|67.74|413.67|131.23|
 Shoes                                             |importoedu pack #1                                |eing|Unknown|1999|5|2.65774545454545454545454545454545454545E02|67.78|302.14|37.97|
 Women                                             |importoamalg #1                                   |ese|Unknown|1999|4|2.06734545454545454545454545454545454545E02|9.04|6.38|290.37|
 Children                                          |amalgexporti #1                                   |ation|Unknown|1999|4|2.28341818181818181818181818181818181818E02|32.31|155|42.5|
 Men                                               |exportiimporto #1                                 |bar|Unknown|1999|3|2.51632727272727272727272727272727272727E02|56.51|344.82|195.05|
 Men                                               |exportiimporto #1                                 |ought|Unknown|1999|5|209.4375|14.4|181.34|211.08|
 Music                                             |edu packscholar #1                                |ese|Unknown|1999|5|2.51370909090909090909090909090909090909E02|56.58|15.19|175.75|
 Men                                               |importoimporto #1                                 |eing|Unknown|1999|3|2.42813636363636363636363636363636363636E02|48.09|181.26|151.42|
 Men                                               |importoimporto #1                                 |able|Unknown|1999|1|268.4525|73.8|338.9|33.78|
 Women                                             |edu packamalg #1                                  |eing|Unknown|1999|1|228.289|34.72|415.63|78.46|
 Music                                             |edu packscholar #1                                |ought|Unknown|1999|3|259.615|66.09|308.2|119.47|
 Shoes                                             |importoedu pack #1                                |ese|Unknown|1999|4|2.11749090909090909090909090909090909091E02|18.94|42.74|107.14|
 Children                                          |amalgexporti #1                                   |eing|Unknown|1999|6|1.96478888888888888888888888888888888889E02|4|13.78|195.6|
 Children                                          |exportiexporti #1                                 |ese|Unknown|1999|9|2.04579166666666666666666666666666666667E02|12.23|351.23|203.45|
 Children                                          |edu packexporti #1                                |ation|Unknown|1999|5|236.051|45.59|250.4|22.33|
 Music                                             |exportischolar #1                                 |ese|Unknown|1999|7|1.89785833333333333333333333333333333333E02|1.01|248.01|57.41|
 Shoes                                             |edu packedu pack #1                               |bar|Unknown|1999|4|1.89414166666666666666666666666666666667E02|1.2|183.6|103.57|
 Music                                             |edu packscholar #1                                |able|Unknown|1999|6|2.44261666666666666666666666666666666667E02|56.3|243.8|151.03|
 Music                                             |exportischolar #1                                 |ese|Unknown|1999|3|1.89785833333333333333333333333333333333E02|3.36|215.11|64.63|
 Shoes                                             |importoedu pack #1                                |able|Unknown|1999|6|1.97691818181818181818181818181818181818E02|11.35|116.27|32.37|
 Children                                          |exportiexporti #1                                 |ation|Unknown|1999|6|2.10693333333333333333333333333333333333E02|24.38|44.75|242.81|
 Music                                             |edu packscholar #1                                |able|Unknown|1999|2|2.44261666666666666666666666666666666667E02|58.18|64|185.83|
 Children                                          |amalgexporti #1                                   |ation|Unknown|1999|5|2.28341818181818181818181818181818181818E02|42.5|32.31|91.78|
 Men                                               |edu packimporto #1                                |able|Unknown|1999|1|205.48|19.94|477.49|137.11|
 Children                                          |amalgexporti #1                                   |eing|Unknown|1999|4|1.96478888888888888888888888888888888889E02|11.45|26.37|13.78|
 Women                                             |importoamalg #1                                   |ation|Unknown|1999|7|194.7875|9.92|157.86|127.63|
 Music                                             |exportischolar #1                                 |ese|Unknown|1999|5|1.89785833333333333333333333333333333333E02|6.44|64.63|248.01|
 Children                                          |amalgexporti #1                                   |eing|Unknown|1999|5|1.96478888888888888888888888888888888889E02|13.78|11.45|4|
 Men                                               |edu packimporto #1                                |ese|Unknown|1999|2|2.22203333333333333333333333333333333333E02|40.03|68.43|46.18|
 Children                                          |importoexporti #1                                 |bar|Unknown|1999|7|183.3|2.27|127.35|212.44|
 Shoes                                             |edu packedu pack #1                               |ese|Unknown|1999|3|2.32634166666666666666666666666666666667E02|52.21|87.9|122.72|
 Shoes                                             |amalgedu pack #1                                  |eing|Unknown|1999|5|202.745|22.38|96.66|212.96|
 Music                                             |edu packscholar #1                                |able|Unknown|1999|1|2.44261666666666666666666666666666666667E02|64|425.54|58.18|
 Music                                             |exportischolar #1                                 |eing|Unknown|1999|6|232.704|53.18|94.55|319.26|
 Children                                          |edu packexporti #1                                |ation|Unknown|1999|1|236.051|56.8|413.75|129.48|
 Women                                             |amalgamalg #1                                     |able|Unknown|1999|2|1.81118181818181818181818181818181818182E02|2.38|159.98|173.42|
 Women                                             |amalgamalg #1                                     |able|Unknown|1999|7|1.81118181818181818181818181818181818182E02|2.71|172.53|327.59|
 Children                                          |importoexporti #1                                 |bar|Unknown|1999|9|183.3|5.25|212.44|316.8|
 Women                                             |exportiamalg #1                                   |bar|Unknown|1999|9|2.16161818181818181818181818181818181818E02|39.06|144.06|273.54|
 Shoes                                             |edu packedu pack #1                               |able|Unknown|1999|7|1.76534545454545454545454545454545454545E02|.43|86.21|315.12|
 Men                                               |edu packimporto #1                                |ese|Unknown|1999|3|2.22203333333333333333333333333333333333E02|46.18|40.03|189.35|
 Children                                          |importoexporti #1                                 |able|Unknown|1999|10|181.462|5.55|383.64|319.57|
 Shoes                                             |amalgedu pack #1                                  |ation|Unknown|1999|1|218.088|42.46|484.66|153.4|
 Men                                               |exportiimporto #1                                 |bar|Unknown|1999|6|2.51632727272727272727272727272727272727E02|76.73|191.82|82.8|
 Women                                             |amalgamalg #1                                     |ation|Unknown|1999|2|2.48068181818181818181818181818181818182E02|73.17|128.37|93.92|
 Music                                             |exportischolar #1                                 |ation|Unknown|1999|7|1.89706666666666666666666666666666666667E02|15.74|32.65|51.95|
 Shoes                                             |edu packedu pack #1                               |eing|Unknown|1999|11|1.99705555555555555555555555555555555556E02|25.75|366.71|609.3|
 Men                                               |importoimporto #1                                 |ought|Unknown|1999|5|2.06893333333333333333333333333333333333E02|33.3|139.49|73.91|
 Men                                               |amalgimporto #1                                   |ation|Unknown|1999|6|2.32289090909090909090909090909090909091E02|58.82|169.51|2.61|
 Music                                             |exportischolar #1                                 |able|Unknown|1999|7|2.43834545454545454545454545454545454545E02|70.5|133.35|478.89|
 Children                                          |exportiexporti #1                                 |ation|Unknown|1999|3|2.10693333333333333333333333333333333333E02|37.37|138.12|117.95|
 Children                                          |amalgexporti #1                                   |ought|Unknown|1999|6|202.491|29.35|37.79|322.41|
 Children                                          |exportiexporti #1                                 |ought|Unknown|1999|6|1.87780833333333333333333333333333333333E02|14.66|127.89|105.38|
 Men                                               |amalgimporto #1                                   |eing|Unknown|1999|4|1.72356666666666666666666666666666666667E02|0|19.31|202.85|
 Children                                          |importoexporti #1                                 |able|Unknown|1999|2|181.462|10.48|215.95|124.72|
 Women                                             |amalgamalg #1                                     |ese|Unknown|1999|6|1.98074166666666666666666666666666666667E02|27.95|52.13|80.73|
 Children                                          |amalgexporti #1                                   |eing|Unknown|1999|2|1.96478888888888888888888888888888888889E02|26.37|399.85|11.45|
 Men                                               |edu packimporto #1                                |able|Unknown|1999|6|205.48|35.47|117.73|302.32|
 Music                                             |importoscholar #1                                 |ought|Unknown|1999|9|1.89936666666666666666666666666666666667E02|20.42|120.1|242.66|
 Women                                             |amalgamalg #1                                     |ought|Unknown|1999|1|212.5175|43.03|300.39|175.57|
 Shoes                                             |exportiedu pack #1                                |ese|Unknown|1999|9|2.40951818181818181818181818181818181818E02|71.51|138.52|348.43|
