S_STORE_NAME|I_ITEM_DESC|REVENUE|I_CURRENT_PRICE|I_WHOLESALE_COST|I_BRAND|
 able|As difficult calculations handle home in the acts. Active righ|2.28|13.87|4.99|amalgedu pack #2                                  |
 able|As fu|0|5.16|2.16|corpbrand #5                                      |
 able|As special days used to play al|.85|6.18|5.25|edu packbrand #2                                  |
 able|Australian, open things shall not cover often small rates. Goals provide ever however grim records. Enough ready objec|.74|4.03|1.77|importoedu pack #1                                |
 able|Belatedly public backs might see overall, net buildings. Services must like strong pa|.43|4.81|3.55|amalgbrand #6                                     |
 able|Big, strong women ought to help. Arts stretch more mostly outstanding supplies. Flowers stay soon appointed amounts. Further mental varieties ventur|1.03|2.59|.9|edu packimporto #2                                |
 able|Black relations used to build cruelly american rules. Various women test in a countries. Minor families obtain quite with a changes. Far levels should |3.16|4.46|1.78|exportiamalg #1                                   |
 able|Black, public shareholders amuse given books. Temporary authorities cannot order only directly due bottles. Parties would play soon only small deci|2.19|7.13|3.42|importobrand #6                                   |
 able|Books may not transport. Industries explain that no longer female elections. Indian w|.57|97.82|72.38|edu packcorp #3                                   |
 able|Bottles take significantly popular, official seconds. Ever inadequate environments should go largely skills. Plans make males. There labour years get so different, oth|.79|2.18|1.48|exportiamalg #2                                   |
 able|Bre|1.74|8.21|3.69|edu packscholar #1                                |
 able|British pubs should not get well heavy, good studies. Environmental examples cause as intensive men. Best long programmes must occupy now functional moving years. High, dear women gain very |.23|5.01|4.4|edu packnameless #4                               |
 able|British services will compare greatly very early words. Key, high personn|.32|17.81|13|edu packscholar #2                                |
 able|British years|.54|8.64|5.09|corpamalgamalg #1                                 |
 able|British, possible pupils attend nev|0|.22|.13|amalgedu pack #1                                  |
 able|Campaigns expect certainly full funds. Better shared qualities kill in a stars. Special profits note exclusive constraints. Only new workers ought to live. Exhibitions used to assum|1.18|6.92|4.29|edu packamalg #1                                  |
 able|Capable interests should not make sorry, free courses. Offences should discuss |.23|2.82|1.35|namelessmaxi #9                                   |
 able|Cars take less geographical objects. Kids give obvious eyes|2.04|8.81|3.17|edu packexporti #1                                |
 able|Casual, original arms should work dramatically in a scholars; classes oug|3.85|1.96|1.25|importoamalg #1                                   |
 able|Certain, distinct obligations wish. Buyers can start just circumstances. Events should thank for the places. Difficult agreements would need with the systems. Wome|.23|.42|.36|univmaxi #6                                       |
 able|Childre|2.01|4.75|3.46|exportiimporto #1                                 |
 able|Children know quite only streets. Political, public visitors must not help; men could not pretend then. Weeks close enough. Infrequently complex year|1.29|.15|.1|maxiunivamalg #4                                  |
 able|Children must want before a men. Items provide then educational flowers. Developments will feel fully double workers. |3.08|88.64|44.32|exportiimporto #1                                 |
 able|Classes watch far better scottish cars. Controls trace more voluntary, only enquiries. Special comments assess with the followers. So straight libraries build more with a examp|2.26|9.76|3.02|amalgimporto #2                                   |
 able|Clear, harsh police used to include large, appropriate plans. Prices could produce more. There white weapons expect directly free conclusions. Responsibl|.3|4.57|3.88|importomaxi #8                                    |
 able|Clearly successful values should agree thus homes. Historical hours measure just. Needs cater thus on the comments. Cattle must no|3.82|7.03|4.71|edu packscholar #1                                |
 able|Companies will render only in the prices. Medium, australian others would not decide certain institutions; possible paintings may approach c|.57|3.08|2.58|exportinameless #7                                |
 able|Complex sports satisfy as. Backwards whole women could give suddenly at a bod|3.46|94.58|41.61|brandnameless #3                                  |
 able|Confident teeth give natural, dark directions. Complete, english members shall feel most. Then generous pp. |1.1|36.92|33.22|importomaxi #1                                    |
 able|Considerab|.96|1|.62|exportibrand #8                                   |
 able|Considerations can ask full, original cuts. Powerful, artistic members feel often ner|1.14|.76|.31|importoimporto #1                                 |
 able|Contemporary occasions provide she|2.17|1.75|.94|amalgmaxi #11                                     |
 able|Continuing, classical jews decide. Probably able sources used to modify most. At least whole costs operate fashio|4.19|.74|.23|exportiamalg #2                                   |
 able|Contracts use entire years. Somewhere literary children stop awkward employees. Also new views can locate boxes. Soviet, surprising arms must not loo|4.03|4.18|1.25|scholarbrand #5                                   |
 able|Correct, personal years will draw above spiritual, reasonable parents. Things shall go very to a fee|3.72|3.19|2.71|importoedu pack #1                                |
 able|Cultural plants bring in a numbers. Other, possi|4.44|6.42|4.81|amalgexporti #1                                   |
 able|Current, certain clubs supply white, old proceedings. Safe brothers must not imagine especially.|4.1|9.86|8.47|importoexporti #2                                 |
 able|Currently clear days reduce then stations. Inner, academic steps see at a facts. Old techniques see farmers; simply private men used to begin for the boots. Eas|3.93|.66|.32|edu packnameless #7                               |
 able|Customs should build slight schools. Dangers find loyal computers. Other holidays learn ago only human jobs. Special, scottish women|2.56|39.43|35.09|edu packunivamalg #9                              |
 able|Dangerous relations believe about birds; western officials start assistant, high nights.|.51|1.55|1.13|importoedu pack #2                                |
 able|Dear feet ought to wear never home other stages. Systems get other, high flowers; late, protective sales want of course horses. Divisions shake as more certain problems. Recently other years ac|0|4.69|1.4|importoedu pack #1                                |
 able|Desperately prime vehicles will not remedy widely for once difficult operations. Distinct pla|1.77|3.18|1.3|univmaxi #2                                       |
 able|Details must say yet in particular british theories. British trusts return sternly other, daily times. Meetings would account merely windows; formal consequences can determine international, n|0|.27|.15|exporticorp #8                                    |
 able|Different aspects get now available hands. Political, physical sums live as later local territories. Legislative, wrong edges must know as well orange,|4.36|5.25|1.78|maxiunivamalg #7                                  |
 able|Difficulties might allow with a persons. Single, significant allegations matter |0|4.36|3.92|importoamalg #1                                   |
 able|Discussions should not show so subsequently young stairs. Reasons would raise probably major sorts. Final, united attempts turn out of a parts. Rather small |4.37|3.46|1.86|amalgamalg #1                                     |
 able|Dollars prove everywhere o|.47|7.89|4.02|amalgbrand #4                                     |
 able|Due, helpful items provide hours. Other differences see so unable theories. Visual times used to know patterns. Very re|0|2.52|1.28|importoamalgamalg #17                             |
 able|Due, only artists assume always from a friends. Already huge controls might replace theoretically yesterday spiritual terms. Little issues reduce much past a letters. Numbers deal to|0|1.99|1.15|exportiedu pack #1                                |
 able|Duly british brothers can relax minimal, old hospitals. Young reforms ought to get now key relationships. Ugly songs should not generali|3.02|.88|.67|exportischolar #1                                 |
 able|Economic terms will not establish certain carers; distinguished acids go for example. Tory resources shall put normally perhaps detailed subjects. Wide emotions|3.66|82.56|28.89|maxinameless #7                                   |
 able|Economic, general matters ough|0|2.56|1.51|edu packexporti #1                                |
 able|Effectively tough papers seek reasons. That rich friends shall not save at a|0|24.87|9.45|scholarnameless #3                                |
 able|Either male men may know on a men. Federal, young forms distract again. Fairly vast days come yet. Visits ought to eat then european, suitable|2.92|2.69|1.77|amalgnameless #9                                  |
 able|Elements mention faintly free railways. Pe|3.07|3|1.98|brandnameless #5                                  |
 able|Endless, small hills cope again as ready forces. Ideal windows would not repeat so interested shoes. Really interesting stars suppress functional, local farmers. Leaves obtai|3.98|9.02|6.49|scholarunivamalg #3                               |
 able|English authorities can take; sometimes mental eyes know quickly; immediate jobs should think below critical villages. Red, international diff|4.21|1.36|.96|importonameless #8                                |
 able|English suggestions say model driv|.28|2.37|.82|importoamalg #1                                   |
 able|English, american yards shall cause thic|3.19|3.01|1.74|edu packedu pack #1                               |
 able|Equal, lucky unions allow strong surroundings. Together yellow women love once by|0|5.72|3.94|exportiedu pack #1                                |
 able|Events stop a little. Northern, white walls welcome at all businesses. Governors must see from a |1.11|1.96|1.15|importounivamalg #2                               |
 able|Ever long elements used to obtain equ|4.05|5.88|4.82|edu packnameless #1                               |
 able|Everyday strings might wash for example about a pp.. Right physical specialists can break privately hungry journalists. Devices will not defend offices. Content, new projects should not se|3.38|2.4|1.99|edu packscholar #1                                |
 able|Existing clients cry both. Considerable suppliers help; fortunate, double types should get over the humans. Underlying, mere services take also nice sheets. Rapidly able arms help soon. You|0|2.56|2.22|exportischolar #2                                 |
 able|Experiments end. Particular others happen too. Here potential hands might drop warm years. Very coastal years know. Most old states cope again |3.85|2.98|1.28|importobrand #8                                   |
 able|Extremely level sources hear; months make less above common materials. Main, unpleasant parts allow workers. Foreign, yellow interests go teeth. Academic yards would not |0|2.84|1.87|edu packnameless #3                               |
 able|Eyes accept all cases; impossible, uncertain instruments used to respect apparently drugs; bab|2.25|.79|.33|edu packscholar #1                                |
 able|Eyes remember countries. Sources prepare downwards in a pages. Coloured years catch. Apart relevant fingers would prepare so to a days. Level activities would not review more ser|.97|2.18|1.19|amalgamalg #1                                     |
 able|Fair kids tell spots. Easily suitable records can wake more results. Areas face so.|3.2|.87|.68|edu packamalg #2                                  |
 able|Fast black days fight for a publishers; most other thoughts could suit circumstances; elections learn. Hot, black figures invite|2.73|91.62|28.4|exportiedu pack #2                                |
 able|Feelings sleep at a details. Also competitive devices shall object early in every sales. Almost other ways offer once free tools. Significant, german sheets keep hardl|2.11|7.15|2.78|amalgbrand #2                                     |
 able|Firms shall not achieve in a rules. Never strong copies represent small clothes. Studies |1.22|.71|.4|exportischolar #1                                 |
 able|Following, other respects must not come new,|2.46|6.1|4.27|importounivamalg #8                               |
 able|For example decent routes shall give specially ethnic common explanations. Aware animals shoul|3.29|1.28|.61|exportibrand #8                                   |
 able|Foreign days walk to a consequences. More major students read then. Never new stones will not see sophisticated funds. Words must not say also. Extra, full t|0|3.44|2.92|exporticorp #8                                    |
 able|Fortunes continue certainly obvious, new feet; dangerous candidates shall reveal others; temporary tensions own like a sports. More tall rights should follow. Items l|2.04|4.04|1.77|edu packbrand #6                                  |
 able|Frien|2.06|8.05|6.68|edu packamalg #2                                  |
 able|Friendly offices feel. Delightful servants give almost previously natural earnings. Written, important books press subject, american parents. New, reduced days shall n|3.42|.4|.14|edu packmaxi #4                                   |
 able|Full others become suddenly from a companies. Artistic, human tests must differ very small functions. Possible police cook quickly dry holes. However wild years break|1.8|.36|.28|maxiunivamalg #15                                 |
 able|Generations used to enable duly blue, heavy tests. Points may send net children. Acute, similar res|1.32|1.14|.91|exportiamalg #1                                   |
