I_CATEGORY|I_CLASS|I_BRAND|I_PRODUCT_NAME|D_YEAR|D_QOY|D_MOY|S_STORE_ID|SUMSALES|RK|
 Books                                             |home repair                                       |||||||231177.44|13|
 Books                                             |mystery                                           |corpunivamalg #12                                 ||||||25022.33|97|
 Books                                             |mystery                                           |corpunivamalg #2                                  ||||||34143.56|73|
 Books                                             |mystery                                           |corpunivamalg #6                                  ||||||39123.94|63|
 Books                                             |mystery                                           |corpunivamalg #8                                  ||||||36704.08|67|
 Books                                             |mystery                                           |corpunivamalg #9                                  ||||||30861|78|
 Books                                             |mystery                                           |||||||181377.52|15|
 Books                                             |parenting                                         |corpmaxi #12                                      ||||||48370.16|53|
 Books                                             |parenting                                         |corpmaxi #2                                       ||||||28800.24|82|
 Books                                             |parenting                                         |corpmaxi #6                                       ||||||70650.48|25|
 Books                                             |parenting                                         |corpmaxi #9                                       ||||||66387.72|28|
 Books                                             |parenting                                         |||||||245090.17|8|
 Books                                             |reference                                         |brandmaxi #12                                     ||||||71835.78|24|
 Books                                             |reference                                         |brandmaxi #2                                      ||||||50940.02|50|
 Books                                             |reference                                         |brandmaxi #3                                      ||||||36306.38|68|
 Books                                             |reference                                         |brandmaxi #6                                      ||||||77081.92|22|
 Books                                             |reference                                         |brandmaxi #8                                      ||||||53471.06|42|
 Books                                             |reference                                         |||||||312351.39|5|
 Books                                             |romance                                           |namelessmaxi #12                                  ||||||58166.51|32|
 Books                                             |romance                                           |namelessmaxi #2                                   ||||||48736.24|52|
 Books                                             |romance                                           |namelessmaxi #3                                   ||||||92332.79|18|
 Books                                             |romance                                           |namelessmaxi #6                                   ||||||58150.75|33|
 Books                                             |romance                                           |namelessmaxi #8                                   ||||||42152.42|61|
 Books                                             |romance                                           |namelessmaxi #9                                   ||||||42657.17|60|
 Books                                             |romance                                           |||||||342425.19|3|
 Books                                             |science                                           |maximaxi #12                                      ||||||28488.23|83|
 Books                                             |science                                           |maximaxi #2                                       ||||||25608.48|94|
 Books                                             |science                                           |maximaxi #3                                       ||||||43707.84|59|
 Books                                             |science                                           |maximaxi #6                                       ||||||55147.5|39|
 Books                                             |science                                           |maximaxi #8                                       ||||||50380.21|51|
 Books                                             |science                                           |maximaxi #9                                       ||||||38724.34|64|
 Books                                             |science                                           |||||||244719.45|9|
 Books                                             |self-help                                         |exportiunivamalg #12                              ||||||35300.26|71|
 Books                                             |self-help                                         |exportiunivamalg #2                               ||||||51584.52|49|
 Books                                             |self-help                                         |exportiunivamalg #6                               ||||||67122.45|27|
 Books                                             |self-help                                         |exportiunivamalg #9                               ||||||36943.99|65|
 Books                                             |self-help                                         |||||||238212.74|11|
 Books                                             |sports                                            |edu packunivamalg #2                              ||||||28023.7|84|
 Books                                             |sports                                            |edu packunivamalg #6                              ||||||52663.05|46|
 Books                                             |sports                                            |edu packunivamalg #8                              ||||||34617.5|72|
 Books                                             |sports                                            |edu packunivamalg #9                              ||||||26243.38|92|
 Books                                             |sports                                            |||||||174194.12|16|
 Books                                             |travel                                            |univunivamalg #12                                 ||||||46058.7|58|
 Books                                             |travel                                            |univunivamalg #2                                  ||||||29598.14|81|
 Books                                             |travel                                            |univunivamalg #3                                  ||||||26379.15|90|
 Books                                             |travel                                            |univunivamalg #8                                  ||||||61261.67|31|
 Books                                             |travel                                            |univunivamalg #9                                  ||||||65155.38|29|
 Books                                             |travel                                            |||||||245170.58|7|
 Books                                             ||||||||3995575.51|1|
