CHANNEL|ID|SALES|RETURNS|PROFIT|
 catalog channel|catalog_pageAAAAAAAABAABAAAA|0|658.6|-337.93|
 catalog channel|catalog_pageAAAAAAAABAJAAAAA|0|442.75|-2645.54|
 catalog channel|catalog_pageAAAAAAAABCABAAAA|0|6000.8|-2484.35|
 catalog channel|catalog_pageAAAAAAAABDABAAAA|0|992.91|-328.98|
 catalog channel|catalog_pageAAAAAAAABDPAAAAA|0|4671.24|-1866|
 catalog channel|catalog_pageAAAAAAAABEABAAAA|0|1392.9|-2936.26|
 catalog channel|catalog_pageAAAAAAAABECBAAAA|0|10.56|-102.21|
 catalog channel|catalog_pageAAAAAAAABEIAAAAA|0|2316.6|-1437.01|
 catalog channel|catalog_pageAAAAAAAABEPAAAAA|0|1681.34|-1942.91|
 catalog channel|catalog_pageAAAAAAAABFPAAAAA|0|5292.06|-1546.65|
 catalog channel|catalog_pageAAAAAAAABGABAAAA|0|3376.62|-2108.75|
 catalog channel|catalog_pageAAAAAAAABGCBAAAA|0|439.05|-290.38|
 catalog channel|catalog_pageAAAAAAAABGPAAAAA|0|868.79|-1140.92|
 catalog channel|catalog_pageAAAAAAAABHABAAAA|0|1176.08|-552.04|
 catalog channel|catalog_pageAAAAAAAABHPAAAAA|0|2202|-3022.79|
 catalog channel|catalog_pageAAAAAAAABIMAAAAA|0|87.44|-262.84|
 catalog channel|catalog_pageAAAAAAAABIPAAAAA|0|28.04|-170.37|
 catalog channel|catalog_pageAAAAAAAABJBBAAAA|0|194.04|-155.26|
 catalog channel|catalog_pageAAAAAAAABJMAAAAA|0|508.4|-511.16|
 catalog channel|catalog_pageAAAAAAAABJPAAAAA|0|5588.14|-1680.62|
 catalog channel|catalog_pageAAAAAAAABKABAAAA|0|451.88|-197.56|
 catalog channel|catalog_pageAAAAAAAABKBBAAAA|0|2647.4|-2693.56|
 catalog channel|catalog_pageAAAAAAAABKPAAAAA|0|5022.36|-1584.5|
 catalog channel|catalog_pageAAAAAAAABMABAAAA|0|192.2|-115.8|
 catalog channel|catalog_pageAAAAAAAABMPAAAAA|0|79.49|-138.28|
 catalog channel|catalog_pageAAAAAAAABNPAAAAA|0|3157.33|-5742.59|
 catalog channel|catalog_pageAAAAAAAABOPAAAAA|0|1700.57|-1019.78|
 catalog channel|catalog_pageAAAAAAAABPABAAAA|0|840|-580.31|
 catalog channel|catalog_pageAAAAAAAABPPAAAAA|0|1823.48|-2095.39|
 catalog channel|catalog_pageAAAAAAAACAABAAAA|0|2655.84|-1462.56|
 catalog channel|catalog_pageAAAAAAAACAJAAAAA|0|2717.78|-1408.24|
 catalog channel|catalog_pageAAAAAAAACBIAAAAA|0|2615.16|-654.69|
 catalog channel|catalog_pageAAAAAAAACCABAAAA|0|37.42|-119.21|
 catalog channel|catalog_pageAAAAAAAACCBBAAAA|0|3160.5|-422.76|
 catalog channel|catalog_pageAAAAAAAACDABAAAA|0|6.96|-80.54|
 catalog channel|catalog_pageAAAAAAAACDBBAAAA|0|37.92|-538.82|
 catalog channel|catalog_pageAAAAAAAACDPAAAAA|0|5264.37|-1681.97|
 catalog channel|catalog_pageAAAAAAAACEPAAAAA|0|2091.83|-746.76|
 catalog channel|catalog_pageAAAAAAAACFABAAAA|0|1963.44|-506.31|
 catalog channel|catalog_pageAAAAAAAACFMAAAAA|0|987.28|-917.22|
 catalog channel|catalog_pageAAAAAAAACFPAAAAA|0|2606.43|-670.63|
 catalog channel|catalog_pageAAAAAAAACGPAAAAA|0|3773.59|-2627.01|
 catalog channel|catalog_pageAAAAAAAACHPAAAAA|0|2685.79|-1517.95|
 catalog channel|catalog_pageAAAAAAAACIPAAAAA|0|11577.88|-8693.22|
 catalog channel|catalog_pageAAAAAAAACJMAAAAA|0|1659.42|-280.85|
 catalog channel|catalog_pageAAAAAAAACJPAAAAA|0|3153.04|-2066.86|
 catalog channel|catalog_pageAAAAAAAACKPAAAAA|0|7879.16|-1283.83|
 catalog channel|catalog_pageAAAAAAAACLPAAAAA|0|1508.52|-1117|
 catalog channel|catalog_pageAAAAAAAACMPAAAAA|0|5602.65|-3241.92|
 catalog channel|catalog_pageAAAAAAAACNPAAAAA|0|689.77|-718.45|
 catalog channel|catalog_pageAAAAAAAACPBBAAAA|0|210.9|-219.78|
 catalog channel|catalog_pageAAAAAAAACPPAAAAA|0|2095.58|-583.97|
 catalog channel|catalog_pageAAAAAAAADBABAAAA|0|1252.86|-540.06|
 catalog channel|catalog_pageAAAAAAAADDPAAAAA|0|1065.83|-180.9|
 catalog channel|catalog_pageAAAAAAAADEIAAAAA|0|3185.4|-465.25|
 catalog channel|catalog_pageAAAAAAAADEPAAAAA|0|3569.73|-2218.07|
 catalog channel|catalog_pageAAAAAAAADFABAAAA|0|129.28|-46.93|
 catalog channel|catalog_pageAAAAAAAADFPAAAAA|0|3623|-1786.09|
 catalog channel|catalog_pageAAAAAAAADGPAAAAA|0|13475.46|-11975.42|
 catalog channel|catalog_pageAAAAAAAADHPAAAAA|0|1143.17|-3406.25|
 catalog channel|catalog_pageAAAAAAAADIPAAAAA|0|1559.48|-2166|
 catalog channel|catalog_pageAAAAAAAADJMAAAAA|0|300.2|-385.32|
 catalog channel|catalog_pageAAAAAAAADJPAAAAA|0|620.48|-768.75|
 catalog channel|catalog_pageAAAAAAAADKPAAAAA|0|13.66|-82.17|
 catalog channel|catalog_pageAAAAAAAADMPAAAAA|0|617.18|-276.37|
 catalog channel|catalog_pageAAAAAAAADNPAAAAA|0|2463.13|-2854.08|
 catalog channel|catalog_pageAAAAAAAADOIAAAAA|0|225.15|-137.01|
 catalog channel|catalog_pageAAAAAAAADOPAAAAA|0|185.21|-171.06|
 catalog channel|catalog_pageAAAAAAAADPABAAAA|0|2714.88|-900.14|
 catalog channel|catalog_pageAAAAAAAAEAABAAAA|0|350.46|-102.04|
 catalog channel|catalog_pageAAAAAAAAEACBAAAA|0|344.85|-98.43|
 catalog channel|catalog_pageAAAAAAAAEBABAAAA|0|6984.72|-3812.48|
 catalog channel|catalog_pageAAAAAAAAEBBBAAAA|0|86.46|-234.12|
 catalog channel|catalog_pageAAAAAAAAECIAAAAA|0|16.32|-75.32|
 catalog channel|catalog_pageAAAAAAAAECJAAAAA|0|1430.4|-1225.12|
 catalog channel|catalog_pageAAAAAAAAEDABAAAA|0|707.28|-244.89|
 catalog channel|catalog_pageAAAAAAAAEDPAAAAA|0|4623.95|-6644.72|
