SUBSTR(W_WAREHOUSE_NAME,1,20)|SM_TYPE|WEB_NAME|30 days|31-60 days|61-90 days|91-120 days|>120 days|
 Conventional childr|NEXT DAY                      |site_0|38|47|52|54|0|
 Conventional childr|NEXT DAY                      |site_1|57|42|48|38|0|
 Conventional childr|NEXT DAY                      |site_2|56|46|42|47|0|
 Conventional childr|NEXT DAY                      |site_3|47|46|57|51|0|
 Conventional childr|NEXT DAY                      |site_4|50|58|42|54|0|
 Conventional childr|OVERNIGHT                     |site_0|28|20|26|38|0|
 Conventional childr|OVERNIGHT                     |site_1|33|31|43|41|0|
 Conventional childr|OVERNIGHT                     |site_2|39|32|43|28|0|
 Conventional childr|OVERNIGHT                     |site_3|38|52|37|42|0|
 Conventional childr|OVERNIGHT                     |site_4|28|26|39|35|0|
 Conventional childr|REGULAR                       |site_0|33|44|29|32|0|
 Conventional childr|REGULAR                       |site_1|37|46|29|37|0|
 Conventional childr|REGULAR                       |site_2|36|30|32|29|0|
 Conventional childr|REGULAR                       |site_3|41|28|34|38|0|
 Conventional childr|REGULAR                       |site_4|36|39|41|27|0|
 Conventional childr|TWO DAY                       |site_0|32|35|35|35|0|
 Conventional childr|TWO DAY                       |site_1|46|43|36|48|0|
 Conventional childr|TWO DAY                       |site_2|35|29|40|36|0|
 Conventional childr|TWO DAY                       |site_3|44|26|25|38|0|
 Conventional childr|TWO DAY                       |site_4|43|26|32|33|0|
 Doors canno|EXPRESS                       |site_0|50|48|45|59|0|
 Doors canno|EXPRESS                       |site_1|55|41|58|46|0|
 Doors canno|EXPRESS                       |site_2|41|47|37|41|0|
 Doors canno|EXPRESS                       |site_3|44|41|38|43|0|
 Doors canno|EXPRESS                       |site_4|45|55|53|62|0|
 Doors canno|LIBRARY                       |site_0|23|32|28|35|0|
 Doors canno|LIBRARY                       |site_1|48|31|36|34|0|
 Doors canno|LIBRARY                       |site_2|40|33|38|34|0|
 Doors canno|LIBRARY                       |site_3|35|30|26|35|0|
 Doors canno|LIBRARY                       |site_4|28|25|22|31|0|
 Doors canno|NEXT DAY                      |site_0|56|44|45|48|0|
 Doors canno|NEXT DAY                      |site_1|46|50|44|36|0|
 Doors canno|NEXT DAY                      |site_2|35|43|42|28|0|
 Doors canno|NEXT DAY                      |site_3|59|47|41|46|0|
 Doors canno|NEXT DAY                      |site_4|55|40|61|49|0|
 Doors canno|OVERNIGHT                     |site_0|39|36|41|48|0|
 Doors canno|OVERNIGHT                     |site_1|23|34|22|30|0|
 Doors canno|OVERNIGHT                     |site_2|38|39|41|27|0|
 Doors canno|OVERNIGHT                     |site_3|33|34|31|35|0|
 Doors canno|OVERNIGHT                     |site_4|36|44|36|50|0|
 Doors canno|REGULAR                       |site_0|34|45|37|28|0|
 Doors canno|REGULAR                       |site_1|32|45|31|39|0|
 Doors canno|REGULAR                       |site_2|32|41|37|35|0|
 Doors canno|REGULAR                       |site_3|26|26|34|29|0|
 Doors canno|REGULAR                       |site_4|45|36|33|38|0|
 Doors canno|TWO DAY                       |site_0|33|36|38|36|0|
 Doors canno|TWO DAY                       |site_1|42|37|33|40|0|
 Doors canno|TWO DAY                       |site_2|38|43|39|38|0|
 Doors canno|TWO DAY                       |site_3|52|30|56|56|0|
 Doors canno|TWO DAY                       |site_4|35|30|37|35|0|
 Important issues liv|EXPRESS                       |site_0|40|47|43|44|0|
 Important issues liv|EXPRESS                       |site_1|49|49|40|54|0|
 Important issues liv|EXPRESS                       |site_2|53|51|47|46|0|
 Important issues liv|EXPRESS                       |site_3|50|55|54|38|0|
 Important issues liv|EXPRESS                       |site_4|59|47|45|53|0|
 Important issues liv|LIBRARY                       |site_0|28|36|34|36|0|
 Important issues liv|LIBRARY                       |site_1|25|25|30|23|0|
 Important issues liv|LIBRARY                       |site_2|33|40|30|41|0|
 Important issues liv|LIBRARY                       |site_3|32|35|32|38|0|
 Important issues liv|LIBRARY                       |site_4|29|39|52|34|0|
